    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Sheffield Stand,-6.26450032,53.35301127,315612.501,235021.986, Parnell square west outside the rotunda hospital ,8,High,0,75,High,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.290662587,53.34183507,313900.354,233736.23,,4,High,0,75,,High,Low,,Good,,,,Yes,,,,,,3
Sheffield Stand,-6.279795617,53.34779341,314608.107,234416.675,"Queen street, probation service ",10,Medium,15,75,Medium,High,Low,All,Good,Unknown,,,,,,,,,7
Sheffield Stand,-6.270240247,53.34315219,315256.918,233915.567,"Christ church place, outside sunny's newsagent",6,High,50,70,High,High,Low,All,Good,Adjacent & Visible,Yes,,,,,,,,4
Sheffield Stand,-6.265384108,53.33649172,315598.337,233182.223,"Wexford street, outside solo clothes shop.",3,High,65,66,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Sheffield Stand,-6.276079416,53.34295923,314868.564,233884.686,Francis street outside reillys pharmacy ,3,High,85,66,Medium,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.293238848,53.34612577,313717.358,234209.605,Houston train station,8,High,50,65,High,High,Low,All,Good,Adjacent & Visible,,,,Yes,,,,,6
Sheffield Stand,-6.251306534,53.33771531,316532.673,233341.264,"Top of baggot street lower, end of pembroke street lower",5,High,90,60,High,High,Low,All,Good,Unknown,,,,,,,,,3
Sheffield Stand,-6.264303178,53.34296563,315652.815,233904.404,"Edge of exchequer street, outside pharmacy and rustic stone",13,High,90,60,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Sheffield Stand,-6.267253608,53.34496807,315450.914,234122.466,"Essex street, outside zaytoon",4,High,85,60,High,High,Low,,Good,,,,Yes,,,,,Yes,2
Sheffield Stand,-6.26409933,53.3442603,315662.887,234048.808,"Dame street,  outside Nico's restaurant",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.260648668,53.34896464,315879.927,234577.911,"Prince's street north, outside penny's.",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.252918541,53.34181265,316414.144,233794.595,Leinster street south outside TCD Leinster street,5,High,100,60,High,High,Low,All,Good,Unknown,,,,,,,,,3
Railing,-6.266168654,53.33863779,315540.279,233419.773,Aungier street outside DIT,4,High,30,50,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Railing,-6.267496347,53.34391522,315437.593,234004.91,Start of castle street,4,High,25,50,High,High,Low,All,Good,Visible,,,,,,,,,2
Railing,-6.258029491,53.34132903,316075.072,233732.458,"Molesworth street, ",4,High,90,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.265747547,53.35051289,315536.215,234741.942,Parnell Streer outside Aldi,11,High,65,50,High,High,Low,All,Good,Adjacent & Visible,,Yes,,,,,Yes,,8
Sheffield Stand,-6.260790825,53.34894062,315870.526,234575.007,"Prince's street north, outside penny's",18,High,100,50,High,High,Low,All,Good,Visible,,,,,,,,,9
Sheffield Stand,-6.250971258,53.35126939,316518.041,234850.136,Talbot street outside wake cup,12,High,25,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.269926429,53.35090915,315256.892,234779.286,"Capel Street, outside The Horse Shoe shop",6,High,79,50,High,High,Low,,Good,Visible,,Yes,,,Yes,,,,3
Sheffield Stand,-6.263267845,53.35177931,315697.898,234886.887,Parnell street outside king fisher restraunt.,4,High,80,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.263511926,53.34102076,315710.776,233689.256,"Johnstone place, outside pharmacy",6,High,92,50,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.265024692,53.33286797,315632.078,232779.547,"Camden street upper, outside damascus gate restaurant ",8,High,50,50,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Sheffield Stand,-6.262032688,53.34383996,315801.655,234005.381,"Trinity street, outside jack jones shop",4,High,100,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.263313442,53.34680228,315708.34,234332.958,"End of Liffey street lower, outside the grand social",4,High,90,50,High,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.272449046,53.33910542,315120.718,233461.67,End of Patricia street outside spar,5,High,20,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3
Sheffield Stand,-6.269899607,53.34332353,315279.141,233935.184,"Start of westborough street, beside the butchers bar",14,High,30,50,High,High,Medium,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14
Sheffield Stand,-6.29202649,53.34690716,313796.011,234298.491,Heuston Luas stop,16,High,70,50,High,High,Medium,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Sheffield Stand,-6.288935244,53.34351569,314010.91,233926.01,James street outside McCanns pub,3,High,15,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.280841678,53.34319623,314550.773,233903.411,Thomas street outside Massey bros funeral home,4,High,50,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.265047491,53.34538679,315596.696,234172.631,"Essex street east, outside costa cafe.",8,High,65,50,High,High,Low,,Good,,,Yes,Yes,,,,,,4
Sheffield Stand,-6.264875829,53.34536358,315608.191,234170.326,"Eustace street, outside the orseman pub",4,High,90,50,High,High,Low,,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.263965219,53.3450073,315669.796,234132.153,"Cecilia street, outside temple lane recording studios",8,High,100,50,Medium,High,Low,All,Good,,,,,,,,,,4
Sheffield Stand,-6.263536066,53.3450113,315698.364,234133.293,"Cecilia street, outside luigi malones restaurant",4,High,50,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.261535138,53.34571905,315829.696,234215.297,"Fleet Street, across from thunder road cafe",8,High,10,50,High,High,Low,,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.295009106,53.34846509,313593.252,234467.114,Infirmary road,7,High,40,50,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.262722015,53.34809683,315744.217,234477.977,Middle abbey street outside arnotts.,4,High,40,50,High,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.264595538,53.34786626,315620.084,234449.284,Upper abbey street near the Jervia Luas stop.,3,High,16,50,High,High,Low,,Good,,,,,Yes,,,,,2
Sheffield Stand,-6.252361983,53.35108127,316425.953,234826.933,Talbot street across the road from Paddy Power,9,High,20,50,,Low,Medium,All,Good,,,,,,,,,,5
Stainless Steel Curved,-6.238356829,53.34462059,317376.228,234130.903,Top of Forbes street,4,High,60,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,3
Stainless Steel Curved,-6.236162782,53.3446302,317522.314,234135.58,All along blood stone road,12,High,20,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,6
Stainless Steel Curved,-6.266330928,53.3602014,315471.177,235819.159,North Circular road outside Matter hospital. ,25,High,20,45,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,12
Sheffield Stand,-6.267299205,53.35003097,315434.199,234685.804,Parnell street outside Jervis medical centre,5,High,20,40,High,High,Low,,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.270107478,53.34501931,315260.724,234123.558,"Wood quay, outside DCC",5,High,20,40,High,High,Low,,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.257431358,53.34837783,316095.756,234517.835,Start of marborough street outside the abbey theatre,5,High,60,40,Medium,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.271288991,53.34610495,315179.115,234242.465,Ormond square,3,High,0,33,Medium,High,Low,,Good,Unknown,,,Yes,,,,,,1
Sheffield Stand,-6.263249069,53.34238835,315724.58,233841.871,"Drury street, outside George's st. arcade",8,High,100,33,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Sheffield Stand,-6.237128377,53.34872687,317446.749,234589.876,Sponsor Dock Luas station,34,High,10,30,Medium,High,Medium,All,Good,Unknown,,,,Yes,,,,,10
Sheffield Stand,-6.296098083,53.34829617,313521.186,234446.584,Outside criminal courts of justice,42,High,15,30,High,High,Medium,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12
Sheffield Stand,-6.297288984,53.3466958,313446.134,234266.598,"Houston station,",166,High,50,25,Medium,High,Medium,,Good,Unknown,,,,Yes,,,,,40
Sheffield Stand,-6.257094741,53.34794472,316119.348,234470.185,Eden quay,10,High,35,20,High,High,Low,All,Good,Visible,,,,,,,,,2
Sheffield Stand,-6.262814552,53.34105679,315757.124,233694.396,"Chatham road, outside DIT music and drama",4,High,50,20,High,High,Low,,Good,,,,,,,,,,1
Sheffield Stand,-6.265170872,53.35093077,315573.483,234789.378,Parnell street outside cycleways. ,11,High,70,10,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,1
Sheffield Stand,-6.259318292,53.34330432,315983.877,233950.178,Bottom of grafton streer,10,High,100,10,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
Sheffield Stand,-6.247524619,53.3359728,316789.331,233153.532,Baggot street lower outside tailored finance.,5,High,0,10,High,High,Low,All,Good,Visible,,,,,,,,,1
Sheffield Stand,-6.267343462,53.34503372,315444.753,234129.627,"Essex street, outside the porterhouse pub",4,High,100,0,High,High,Low,,Good,Unknown,,,,,,,Yes,Yes,0
Sheffield Stand,-6.265596002,53.33655017,315584.065,233188.385,"Wexford street, in front of whelans off licence",3,High,65,0,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.26895681,53.34913196,315326.251,234583.081,Capel street outside codys of Capel Street.,2,High,100,0,High,High,Low,All,Good,Visible,,,,,,,,,0
Sheffield Stand,-6.266548187,53.35023351,315483.659,234709.557,Parnell street across the road from Euro Giant shop,2,High,100,0,,High,Low,,Good,Adjacent & Visible,,,,,,,,,0
Sheffield Stand,-6.258189082,53.35024071,316040.24,234723.909,Marlborough Street outside Spar shop,5,High,60,0,High,High,Low,All,Good,Unknown,,,,,,,,,0
Sheffield Stand,-6.249909103,53.35103243,316589.41,234825.5,Amiens Street at Luas station,8,High,40,0,High,High,High,,Good,Unknown,,,,Yes,,,,,0
Sheffield Stand,-6.265365332,53.33578381,315601.502,233103.476,"Camden street, outside penny farthing cycles",2,High,25,0,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.265102476,53.33561404,315619.469,233085.009,"Camden street lower, outside tommy Moore jewellers",2,High,75,0,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.261722893,53.35282476,315797.933,235005.731,Cavendish road outside the Ambassador theatre.,13,High,50,0,High,High,Low,All,Good,Visible,,,,,,,,,0
Sheffield Stand,-6.252375394,53.34952263,316429.307,234653.463,Beresford Place Infront of Busaras.,10,High,39,0,,High,Low,,Good,Unknown,Yes,,Yes,Yes,,,,,0
Sheffield Stand,-6.257043779,53.34728023,316124.547,234396.322,"Burgh quay, outside Jaffa deli",10,High,20,0,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.257368326,53.34717936,316103.209,234384.569,"Hawkins street, outside PCI college",8,High,70,0,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.259280741,53.34530433,315980.949,234172.805,"Westmoreland street, outside fexco",4,High,100,0,High,High,Low,All,Good,,,,,,,,,,0
Sheffield Stand,-6.25984937,53.34428192,315945.856,234058.105,"College green, outside dubarry of Ireland shop",12,Medium,95,0,High,High,Low,All,Good,,,,,,,,,,0
Sheffield Stand,-6.254621744,53.35223079,316272.359,234951.172,Mabbot lane,6,High,0,0,Medium,Medium,Low,,Good,Unknown,Yes,,Yes,,,,,,0
Hoops,-6.263420731,53.33592875,315730.637,233122.755,,,High,,,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.265754253,53.33960508,315565.264,233528.086,,,High,,,,,,,,,,,,,,,,,
Hoops,-6.261592805,53.34363419,315831.507,233983.195,,,High,,,,,,,,,,,,,,,,,
Hoops,-6.263879389,53.35145831,315658.048,234850.175,Parnell Street outside Centra,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.265408248,53.34110643,315584.249,233695.719,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.265803874,53.34514581,315546.977,234144.59,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.265716702,53.34523708,315552.536,234154.888,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.26422137,53.34497847,315652.816,234128.53,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.251496971,53.33775535,316519.88,233345.409,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.266094893,53.35038881,315513.422,234727.572,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.280289143,53.3472354,314576.739,234353.786,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.250061989,53.33728289,316616.747,233295.175,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.247862577,53.33837834,316760.249,233420.672,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.252391487,53.33794353,316459.788,233364.891,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.253306121,53.3381221,316398.382,233383.272,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.261253506,53.33945615,315865.43,233518.805,,1,High,50,,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.261083186,53.33967315,315876.185,233543.229,,,High,,,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.25698477,53.33909421,316150.724,233485.461,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.261006743,53.33977164,315881.01,233554.313,,,High,,,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.266705096,53.34502571,315487.286,234129.767,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.249659657,53.34338438,316626.893,233974.817,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.280277073,53.34703925,314578.069,234331.977,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.2667346,53.34885416,315474.974,234555.758,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.260680854,53.34570624,315886.62,234215.257,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.26025036,53.34573587,315915.208,234219.253,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.259184182,53.34787667,315980.397,234459.217,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.26599431,53.34688074,315529.605,234337.349,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.255045533,53.3514511,316246.263,234863.717,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.265783757,53.34033214,315561.333,233608.947,Aungier street; outside queen beauty salon,,High,,,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.264296472,53.35105325,315631.373,234804.423,"Parnell street, outside Paddy Powers",,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.268185675,53.3447647,315389.393,234098.328,,,High,,,,,,,,,,,,,,,,,
Hoops,-6.265089065,53.33518961,315621.511,233037.8,,,High,,,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.260890067,53.35171207,315856.402,234883.26,O'Connell Street outside the Gresham hotel,,High,,,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.262542307,53.34309454,315769.736,233921.602,Exchequer Street,,High,,,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.263363063,53.34307372,315715.132,233917.955,,,High,,,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Hoops,-6.263764054,53.34312737,315688.282,233923.276,Excheqer Street,,High,,,,,,,,,,,,,,,,,
Hoops,-6.262097061,53.34388319,315797.251,234010.087,,,High,,,,,,,,,,,,,,,,,
Hoops,-6.267238855,53.34506734,315451.628,234133.537,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.278563142,53.3483386,314688.714,234479.324,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.266171336,53.34736029,315516.52,234390.428,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.251912713,53.33381458,316502.929,232906.195,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.277897954,53.34931769,314730.38,234589.348,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.26231432,53.34803598,315771.53,234471.866,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.259095669,53.34103037,316004.875,233697.49,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.256929785,53.34124416,316148.543,233724.801,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.249551028,53.34355492,316633.662,233993.973,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.260042489,53.34838503,315921.864,234514.395,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.257686168,53.33927598,316103.515,233504.548,,,High,,,,High,Low,,Good,,,,,,,,,,
Hoops,-6.264009476,53.34846669,315657.485,234517.05,,,High,,,,High,Low,,Good,,,,,,,,,,
Sheffield Stand,-6.263313442,53.35443291,315687.676,235182.112,Top of Parnell square east.,2,High,50,,High,High,Low,All,Good,Unknown,,,,,,,,,2
Sheffield Stand,-6.255112588,53.3487581,316249.126,234563.925,Bresford Place beside Liberty Hall and bus eireann bus stop,3,High,16,,High,High,Low,All,Good,Visible,,,,,,,,,6
Sheffield Stand,-6.272549629,53.33352788,315129.04,232840.827,Ovoca,4,High,60,,Medium,High,High,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Sheffield Stand,-6.257003546,53.34618021,316130.216,234273.975,Hawkins street,4,High,0,,High,High,Low,All,Good,Visible,,,,,,,,,0
Sheffield Stand,-6.258065701,53.35383416,316038.694,235123.997,Cumberland street North outside nam thanh supermarket,2,High,0,,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8
Sheffield Stand,-6.260721087,53.34278548,315891.862,233890.163,"Clarendon street, across from BT",4,High,100,,,,,,,,,,,,,,,,0
Sheffield Stand,-6.251509041,53.34995172,316485.825,234702.625,Store street outside Bus Eireann,3,High,85,,High,High,Low,All,Good,Unknown,,,,Yes,,,,,6
Sheffield Stand,-6.264576763,53.35554873,315600.544,235304.237,North Frederick street outside Lady beauty Parlour,3,High,15,,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6
Sheffield Stand,-6.2644279,53.34248363,315645.813,233850.564,"South George's street, outside laser dvd",4,High,100,,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
Sheffield Stand,-6.248142868,53.34945698,316711.319,234653.066,Georges dock outside Ely chq,4,High,60,,High,High,Low,All,Good,Unknown,,,,Yes,,,,,8
Sheffield Stand,-6.278260052,53.3472354,314711.859,234357.044,Smithfield near luas station,6,High,50,,Medium,High,Low,All,Good,,,,,,,,,,0
Sheffield Stand,-6.292752028,53.34093668,313763.589,233632.925,St James hospital,40,High,80,,High,High,High,All,Good,Visible,,,,,,,,,0
Sheffield Stand,-6.300144196,53.33877552,313276.991,233380.675,Brooksfield road outside mace,2,High,50,,Medium,High,Low,All,Good,Unknown,,,,,,,,,0
Sheffield Stand,-6.26120358,53.34525232,315853.041,234163.896,Back of fleet street car park,,High,,,,High,Low,,Good,,,,,,,,,,
Sheffield Stand,-6.255120635,53.3473715,316252.362,234409.608,Tara street,3,High,15,,Medium,High,Low,All,Good,Visible,,,,,,,,,6
Sheffield Stand,-6.249292195,53.34397447,316649.754,234041.084,Bottom of Westmoreland street,2,High,100,,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.258726865,53.34672142,316013.987,234331.401,D'Oliver street,6,High,90,,High,High,Low,All,Good,Visible,,,,,,,,,9
Sheffield Stand,-6.26964894,53.35037866,315276.8,234720.7,Top of Capel Street,11,,,,,,,,,,,,,,Yes,,,,
Sheffield Stand,-6.26580376,53.34639767,315543.6,234283.9,Swift Row,5,,,,,,,,,,,,,,,,Yes,Yes,
Sheffield Stand,-6.27111868,53.34152615,315202.8,233733.2,Bride Road,5,,,,,,,,,,,,,,,Yes,,,
Sheffield Stand,-6.25398474,53.34601317,316331.7,234260.3,Luke Street,14,,,,,,,,,,,,,,,Yes,,,
Sheffield Stand,-6.27604571,53.34296246,314870.8,233885.1,Francis Street at Thomas Street end,10,,,,,,,,,,,,,,,,,,
Sheffield Stand,-6.26785596,53.34419083,315412.9,234035,Exchange Street Upper,7,,,,,,,,,,,,,,,,,,
Sheffield Stand,-6.2615502,53.33147532,315867.3,232630.2,Charlemont Street ,5,,,,,,,,,,,,,,,,,,
Sheffield Stand,-6.27290749,53.3369826,315095.9,233224.7,Clanbrassil St north of Fumbally Lane,5,,,,,,,,,,,,,,,,,Yes,
Sheffield Stand,-6.27295291,53.33689879,315093.1,233215.3,Clanbrassil St south of Fumbally Lane,5,,,,,,,,,,,,,,,,,Yes,
Sheffield Stand,-6.26792456,53.34857168,315396.5,234522.4,Mary Street east of Jervis Lane Lower,9,,,,,,,,,,,,,,,,,,
Sheffield Stand,-6.27478408,53.34166909,314958.3,233743.2,Thomas Davis Street South at Francis St end,10,,,,,,,,,,,,,Yes,,,,,
Sheffield Stand,-6.2689365,53.35002236,315325.2,234682.2,Ryders Row,16,,,,,,,,,,,,,,,,,,
